gender,tenure,MonthlyCharges,TotalCharges,total_charges_per_tenure,Churn
0,0.171383425,-1.499259583,-0.719580157,-4.198656657,0
1,-0.609385569,-0.348951534,-0.595503266,0.977219181,0
0,0.294662739,1.070648283,0.622825028,2.113687769,1
0,-0.239547624,1.191995808,0.218140749,-0.910636246,0
1,-1.266875247,-0.653151495,-0.981667945,0.774873411,1
1,0.582314474,0.678346694,0.800178999,1.374135514,0
0,1.609642096,-0.039764689,0.958592469,0.595531436,0
0,0.21247653,0.517104092,0.381671478,1.796299471,0
0,-0.691571778,-0.513518726,-0.665549888,0.962372828,0
0,1.609642096,1.280097436,2.24692308,1.39591471,1
0,-0.650478673,0.182982823,-0.481660891,0.740471457,1
1,0.582314474,-0.199344996,0.226780276,0.389446401,0
0,1.198711047,1.2917335,1.808611106,1.508796561,1
1,-1.307968352,0.67003522,-0.981867318,0.750681251,1
0,-0.979223513,-0.468636765,-0.814149742,0.831423809,0
0,1.568548992,0.704943412,1.659102994,1.057731064,0
1,-1.020316618,-1.500921878,-0.955306313,0.936284185,1
0,1.568548992,1.476248231,2.428663272,1.548350281,0
0,-1.143595932,-0.450351521,-0.903336238,0.789908579,0
1,0.911059313,-1.482636634,-0.541472997,-0.59433342,0
0,1.486362782,1.323317103,2.179446164,1.466294898,1
1,0.253569635,0.517104092,0.398906225,1.573162442,1
0,0.335755844,1.253500718,0.847186884,2.523223044,1
1,1.404176572,1.389808897,2.086028515,1.485588463,0
0,-1.307968352,-0.621567893,-0.999079913,0.763841045,1
0,1.157617943,1.373185949,1.805000227,1.559236568,0
0,-0.938130408,-1.497597288,-0.934017633,0.995615989,0
1,1.609642096,-1.34466616,-0.262327683,-0.162972678,0
0,-1.307968352,0.148074631,-0.988823245,0.755999366,1
1,-0.650478673,-0.97231211,-0.733314789,1.127346397,0
1,0.335755844,-1.500921878,-0.66202762,-1.971753078,0
0,-1.266875247,-0.664787559,-0.97034795,0.765938045,0
1,-1.184689037,1.098907296,-0.849195206,0.716808529,1
0,1.116524838,0.314304118,0.953497364,0.853986702,0
1,-0.075175205,0.66006145,0.138324817,-1.840032459,0
0,0.664500684,1.142126962,1.160624472,1.746611404,0
0,-1.307968352,-0.305731868,-0.994870913,0.760623078,0
0,-0.732664883,-0.001531907,-0.59831665,0.816630719,0
1,0.541221369,-1.517544827,-0.636662856,-1.176344639,0
0,0.417942054,-1.183423558,-0.477230365,-1.141857728,0
0,-0.527199359,0.985871245,-0.177904003,0.337451099,1
1,0.993245523,-0.380535137,0.333090756,0.33535591,0
0,-0.979223513,-1.497597288,-0.940331134,0.960282429,0
1,-1.184689037,0.171346759,-0.901298196,0.760788838,1
1,-1.307968352,0.289369695,-0.986940271,0.754559749,1
0,0.787779998,-1.333030096,-0.474992949,-0.602951268,0
0,1.609642096,0.28438281,1.341478558,0.833401761,0
0,1.321990362,0.924366334,1.624766414,1.229030454,0
0,0.746686893,-0.166099099,0.328926061,0.440514042,0
0,0.787779998,1.524454782,1.564334035,1.985749877,0
1,-1.307968352,0.177995939,-0.988424497,0.755694506,1
1,-1.061409723,-1.515882532,-0.955328465,0.90005626,0
0,0.171383425,-1.48097434,-0.710453273,-4.145402474,0
1,-1.061409723,-0.686397393,-0.880674096,0.82972115,0
0,0.746686893,-1.47764975,-0.557600113,-0.746765636,0
0,-0.773757988,0.018415631,-0.604142792,0.780790379,1
1,0.335755844,0.325940182,0.392747794,1.169742241,0
0,1.609642096,0.1580484,1.155064161,0.717590677,0
0,1.157617943,0.573622117,1.153557782,0.99649266,0
0,-0.280640729,0.626815553,-0.102164155,0.364038944,1
1,-0.198454519,-1.484298929,-0.782360716,3.942267064,0
1,-0.855944198,-0.701358046,-0.779879621,0.91113372,0
1,-0.321733834,0.655074566,-0.094432886,0.29351245,0
1,-1.020316618,1.205294167,-0.646099877,0.63323469,1
0,-0.362826939,-0.857613764,-0.589211919,1.623947549,1
1,-0.157361415,-0.66146297,-0.475192322,3.019751213,0
1,-1.266875247,-1.509233352,-1.007342845,0.795139732,0
1,1.527455887,0.3525369,1.289929384,0.844495344,0
1,0.952152418,1.108881065,1.420940049,1.492345156,1
1,0.294662739,1.358225295,0.853921284,2.897961532,0
0,0.869966208,0.013428747,0.536850664,0.617093697,0
0,-1.307968352,-0.453676111,-0.996842497,0.762130441,1
1,0.335755844,0.324277887,0.349771688,1.041744154,0
1,-0.938130408,-1.515882532,-0.937495597,0.999323323,0
0,-0.979223513,0.35586149,-0.726447473,0.741860733,0
0,-1.020316618,0.058310708,-0.788740674,0.773035213,0
1,-0.239547624,-1.484298929,-0.781098016,3.260721194,0
1,0.253569635,-0.791121969,-0.311971731,-1.230319756,0
0,0.417942054,0.430664759,0.471699774,1.128624815,1
0,-0.11626831,-0.34728924,-0.31567122,2.715023736,0
0,0.007011005,0.952625347,0.334198388,47.66768595,0
0,-0.239547624,-1.497597288,-0.811314206,3.386859743,0
0,1.609642096,1.446326923,2.400595887,1.491384882,0
1,-1.020316618,-1.499259583,-0.94863837,0.929749015,0
1,1.445269677,-1.490948109,-0.405079243,-0.280279348,0
0,0.13029032,-0.982285879,-0.435627722,-3.34351564,0
1,-0.280640729,0.03836317,-0.287448767,1.02425891,0
0,1.568548992,1.486222,2.460252925,1.568489692,0
1,-1.307968352,0.508792617,-0.984016124,0.752324108,1
0,0.253569635,-1.319731737,-0.581835092,-2.294577161,0
0,-1.307968352,-1.357964519,-1.008893529,0.771343991,1
0,0.787779998,1.306694154,1.447523207,1.837471388,1
0,-1.020316618,-1.502584173,-0.944717355,0.925906075,0
1,0.787779998,0.53372704,0.856313768,1.086996077,0
0,0.623407579,-1.374587468,-0.499693133,-0.801551265,0
0,0.869966208,1.339940051,1.478315365,1.699279066,0
1,-0.362826939,-0.284122035,-0.407604643,1.123413393,0
0,0.007011005,0.799694219,0.321859372,45.9077363,0
1,-1.184689037,1.195320398,-0.84266018,0.711292291,0
1,0.993245523,1.187008924,1.466729539,1.476703902,0
1,0.993245523,-1.500921878,-0.455963838,-0.459064579,0
0,-1.143595932,0.881146668,-0.820286022,0.717286585,1
0,-1.102502827,0.163035285,-0.852141506,0.772915484,0
0,-1.225782142,-0.523492496,-0.944650897,0.770651541,1
1,1.609642096,-1.454377622,-0.390680032,-0.24271236,0
0,-1.143595932,0.651749976,-0.818513811,0.715736903,1
1,1.363083467,0.310979528,1.133354582,0.831463817,0
1,0.952152418,1.516143307,1.700572721,1.786029934,0
0,1.609642096,-0.131190907,0.995919654,0.618721178,0
0,0.500128264,-1.34466616,-0.537396913,-1.074518181,0
0,-0.486106254,-1.48097434,-0.832270595,1.712116618,0
0,-0.403920044,1.315005628,-0.051545391,0.127612857,0
1,0.993245523,-1.489285814,-0.537640592,-0.541296768,0
1,1.404176572,1.47957282,2.206583138,1.571442781,0
1,1.609642096,1.67073673,2.679807659,1.664846903,0
1,-1.020316618,0.121477913,-0.769512189,0.754189607,0
0,1.445269677,1.004156488,1.94154905,1.343381848,0
1,-0.280640729,1.183684334,0.132365759,-0.471655555,0
1,-0.362826939,1.305031859,0.085712316,-0.236234708,0
1,0.21247653,0.334251656,0.251945666,1.185757627,1
0,1.486362782,-1.494272698,-0.399563237,-0.268819458,0
0,-0.321733834,-0.890859661,-0.589610666,1.832603859,0
0,-1.143595932,-1.490948109,-0.977835539,0.855053355,0
1,1.486362782,0.744838489,1.663378452,1.11909318,0
1,-0.773757988,-1.479312045,-0.890000354,1.150230909,0
1,-1.225782142,-1.018856366,-0.95780956,0.781386453,1
1,-1.061409723,1.180359744,-0.70276631,0.662106531,0
0,-0.280640729,-1.520869416,-0.791044547,2.818708993,0
0,1.116524838,-1.47432516,-0.485648365,-0.434964229,0
1,-1.266875247,0.708268002,-0.940375439,0.742279432,1
1,-0.814851093,0.799694219,-0.504832544,0.619539629,0
1,0.911059313,1.167061385,1.421360949,1.560119005,1
1,-1.225782142,0.47222213,-0.91033647,0.742657638,1
0,-1.102502827,0.66338604,-0.78761089,0.714384462,1
1,-0.814851093,-0.6514892,-0.785417779,0.963878905,0
0,1.321990362,0.952625347,1.669448273,1.262829383,0
1,0.500128264,1.338277757,1.076488776,2.152425395,0
0,-1.225782142,0.400743451,-0.918355723,0.749199789,1
1,-1.061409723,0.194618887,-0.819820816,0.772388644,1
0,-0.897037303,0.334251656,-0.653720383,0.728754959,1
0,0.787779998,0.638451617,0.907131905,1.151504109,1
0,-0.568292464,0.443963118,-0.358979616,0.631681113,1
1,-0.938130408,1.23687777,-0.545992134,0.582000252,1
1,0.664500684,-1.47764975,-0.56557506,-0.851127884,0
1,-0.732664883,-1.505908763,-0.886898986,1.210511116,0
0,-0.732664883,0.867848309,-0.385961521,0.526791348,0
1,-0.814851093,-0.523492496,-0.731830563,0.898115703,0
0,0.089197215,-1.311420263,-0.661008598,-7.410641681,0
1,-1.102502827,1.108881065,-0.771173637,0.699475428,1
0,-0.650478673,-0.674761329,-0.717652878,1.103268881,0
1,1.157617943,-1.346328455,-0.391344611,-0.33806025,0
1,-1.266875247,0.1580484,-0.955239855,0.754012565,1
1,0.828873103,0.995845014,1.195802851,1.44268507,1
0,1.404176572,0.819641758,1.804069817,1.284788432,0
1,-0.650478673,1.120517129,-0.264166351,0.406110703,1
1,-0.732664883,0.493831964,-0.52694087,0.71921131,1
1,-0.938130408,-0.804420328,-0.820485395,0.874596312,0
1,1.527455887,1.620867884,2.497956704,1.635370767,0
0,-1.225782142,1.431366269,-0.878392375,0.716597464,0
0,0.171383425,0.874497488,0.419286647,2.446483068,0
1,0.828873103,0.296018874,0.754367356,0.910111998,0
0,1.486362782,1.007481078,1.936365334,1.302754185,0
0,-0.445013149,-0.355600714,-0.50884217,1.143431765,1
1,-1.143595932,0.525415566,-0.853492817,0.74632376,0
1,-1.225782142,-1.497597288,-0.991304339,0.808711683,1
1,0.459035159,-0.490246598,-0.071815049,-0.156447818,0
1,-1.307968352,0.124802503,-0.989133382,0.756236479,1
0,1.527455887,-1.314744853,-0.259647214,-0.169986719,0
1,1.363083467,-0.643177726,0.321682151,0.23599593,0
1,1.568548992,1.183684334,2.095399078,1.33588373,0
0,1.280897257,-1.502584173,-0.455077733,-0.355280433,0
0,-0.239547624,-1.48097434,-0.784022163,3.27292815,0
0,1.363083467,1.642477717,2.251818812,1.652003613,0
0,-0.362826939,1.201969577,0.040144352,-0.110643252,1
0,-0.568292464,1.198644988,-0.188581571,0.331838945,1
1,1.363083467,1.364874474,2.070853962,1.519242227,1
1,-0.979223513,-1.47764975,-0.954176528,0.974421586,0
1,-0.280640729,-0.566712162,-0.492094781,1.753468863,0
1,0.828873103,1.464612167,1.513914645,1.826473363,0
1,-0.403920044,0.335913951,-0.23157983,0.573330869,0
0,-1.307968352,-0.350613829,-0.995469034,0.761080368,1
1,-0.773757988,0.467235246,-0.531371397,0.68674108,1
1,-0.157361415,-0.229266304,-0.251074146,1.595525476,0
1,0.294662739,1.364874474,0.901172847,3.058319655,0
1,1.034338628,-1.497597288,-0.506117397,-0.489314991,0
0,0.417942054,0.66338604,0.595643749,1.425182613,0
1,0.664500684,-1.318069442,-0.482724217,-0.726446532,0
1,-0.855944198,-1.510895647,-0.910447233,1.063675921,0
1,-0.814851093,-0.536790855,-0.738919405,0.906815259,1
0,-0.321733834,-0.151138445,-0.397215058,1.234607667,0
1,-0.609385569,1.002494193,-0.275486346,0.452072318,0
0,1.280897257,0.512117207,1.203556272,0.939619681,0
0,0.04810411,-1.146853071,-0.603677587,-12.54939729,0
0,1.609642096,1.700658038,2.704264165,1.680040657,0
1,-1.061409723,0.646763091,-0.749441905,0.706081628,0
1,0.294662739,-1.487623519,-0.675141978,-2.291236343,0
1,0.952152418,0.128127093,0.670874087,0.704586864,0
1,-1.143595932,-0.638190841,-0.931824523,0.814819725,1
1,1.609642096,-1.304771084,-0.183508619,-0.114005852,0
0,0.253569635,-0.169423689,0.018899978,0.074535654,0
1,1.609642096,0.395756566,1.403262249,0.871785257,0
1,-0.691571778,-0.358925304,-0.625675151,0.904714695,0
1,1.527455887,1.599258051,2.519378299,1.649395129,0
1,0.787779998,-1.505908763,-0.571002455,-0.724824769,0
1,0.376848949,-1.394535006,-0.570182808,-1.513027458,0
0,-0.609385569,0.85787454,-0.31188312,0.511799321,1
1,1.321990362,1.135477783,1.823386912,1.379273983,0
0,1.609642096,-0.003194202,1.077131202,0.669174349,0
0,1.363083467,-1.48097434,-0.417218885,-0.30608462,0
0,-1.307968352,-0.663125264,-0.999633729,0.764264462,0
0,-0.075175205,0.852887655,0.278484519,-3.704473031,0
0,-1.225782142,0.315966413,-0.917846212,0.748784128,1
1,-1.143595932,-0.302407278,-0.886455933,0.775147854,0
0,-1.307968352,-1.497597288,-1.01075435,0.772766672,0
1,-1.143595932,-1.349653045,-0.960955234,0.84029263,0
0,1.527455887,-1.321394032,-0.226418267,-0.148232279,0
1,-1.266875247,-0.357263009,-0.974512644,0.76922542,0
1,-0.568292464,-0.289108919,-0.535115192,0.94161937,0
1,-1.307968352,0.192956593,-0.988225124,0.755542076,0
0,0.459035159,-1.331367801,-0.570470792,-1.242760562,0
1,-0.855944198,-1.490948109,-0.90233937,1.054203501,0
0,-0.239547624,0.530402451,-0.042905864,0.179112043,0
